{'numeracySkill': 'M', 'studentId': 10, 'word': 'rf', 'packageName': 'Game', 'number': 9821, 'literacySkill': 'IUr', 'score': 77, 'deviceId': 10, 'letter': 'y', 'time': datetime.datetime(2015, 3, 30, 5, 20, 45, 75330), 'id': 10}
{'numeracySkill': 'Sq', 'studentId': 30, 'word': 'iJQN', 'packageName': 'Speech', 'number': 3688, 'literacySkill': 'G', 'score': 37, 'deviceId': 30, 'letter': 'H', 'time': datetime.datetime(2013, 12, 19, 13, 34, 19, 651246), 'id': 30}
{'numeracySkill': 'j', 'studentId': 31, 'word': 'NMx', 'packageName': 'Game', 'number': 7430, 'literacySkill': 'W', 'score': 20, 'deviceId': 31, 'letter': 'Z', 'time': datetime.datetime(2017, 4, 4, 23, 47, 9, 696803), 'id': 31}
{'numeracySkill': 'E', 'studentId': 32, 'word': 'SKWTyUz', 'packageName': 'Literacy', 'number': 4930, 'literacySkill': 'VBKs', 'score': 78, 'deviceId': 32, 'letter': 'Y', 'time': datetime.datetime(2013, 11, 9, 6, 49, 56, 334795), 'id': 32}
{'numeracySkill': 'P', 'studentId': 33, 'word': 'WqHhdqZ', 'packageName': 'Speech', 'number': 8213, 'literacySkill': 'QvfF', 'score': 64, 'deviceId': 33, 'letter': 'R', 'time': datetime.datetime(2013, 12, 10, 11, 21, 4, 231556), 'id': 33}
{'numeracySkill': 'lc', 'studentId': 34, 'word': 'sBtR', 'packageName': 'Game', 'number': 1942, 'literacySkill': 'mb', 'score': 55, 'deviceId': 34, 'letter': 'e', 'time': datetime.datetime(2016, 4, 27, 0, 41, 54, 140401), 'id': 34}
{'numeracySkill': 'SD', 'studentId': 35, 'word': 'MqiHMBS', 'packageName': 'Speech', 'number': 4792, 'literacySkill': 'TF', 'score': 31, 'deviceId': 35, 'letter': 'V', 'time': datetime.datetime(2016, 4, 5, 14, 29, 35, 729336), 'id': 35}
{'numeracySkill': 'Er', 'studentId': 36, 'word': 'wXdbpOYT', 'packageName': 'Literacy', 'number': 2999, 'literacySkill': 'uhic', 'score': 99, 'deviceId': 36, 'letter': 'W', 'time': datetime.datetime(2014, 5, 9, 1, 26, 18, 244083), 'id': 36}
{'numeracySkill': 'jpP', 'studentId': 37, 'word': 'HiyFsoSRL', 'packageName': 'Game', 'number': 9844, 'literacySkill': 'ljR', 'score': 32, 'deviceId': 37, 'letter': 'p', 'time': datetime.datetime(2016, 7, 18, 18, 35, 37, 10214), 'id': 37}
{'numeracySkill': 'k', 'studentId': 38, 'word': 'zXJFCZ', 'packageName': 'Game', 'number': 3626, 'literacySkill': 'tySpa', 'score': 33, 'deviceId': 38, 'letter': 'g', 'time': datetime.datetime(2013, 10, 11, 20, 47, 56, 864661), 'id': 38}
{'numeracySkill': 'IE', 'studentId': 39, 'word': 'DJRNf', 'packageName': 'Literacy', 'number': 2114, 'literacySkill': 'Z', 'score': 61, 'deviceId': 39, 'letter': 'P', 'time': datetime.datetime(2014, 11, 14, 16, 51, 21, 786518), 'id': 39}
{'numeracySkill': 'vCYt', 'studentId': 40, 'word': 'ZLVWgWja', 'packageName': 'Literacy', 'number': 879, 'literacySkill': 'AuiGz', 'score': 44, 'deviceId': 40, 'letter': 'k', 'time': datetime.datetime(2016, 3, 12, 2, 51, 15, 251697), 'id': 40}
{'numeracySkill': 'OOFa', 'studentId': 41, 'word': 'msZLK', 'packageName': 'Game', 'number': 6825, 'literacySkill': 'vOuFr', 'score': 82, 'deviceId': 41, 'letter': 'S', 'time': datetime.datetime(2015, 9, 27, 12, 12, 27, 713763), 'id': 41}
{'numeracySkill': 'uPC', 'studentId': 42, 'word': 'HDkV', 'packageName': 'Game', 'number': 7722, 'literacySkill': 'TNh', 'score': 56, 'deviceId': 42, 'letter': 'c', 'time': datetime.datetime(2016, 4, 2, 13, 34, 41, 64084), 'id': 42}
{'numeracySkill': 'b', 'studentId': 43, 'word': 'ptG', 'packageName': 'Speech', 'number': 178, 'literacySkill': 'BfoCf', 'score': 59, 'deviceId': 43, 'letter': 'E', 'time': datetime.datetime(2015, 4, 22, 21, 27, 5, 846963), 'id': 43}
{'numeracySkill': 'GMjp', 'studentId': 44, 'word': 'IizfcFb', 'packageName': 'Speech', 'number': 9850, 'literacySkill': 'YRW', 'score': 43, 'deviceId': 44, 'letter': 'm', 'time': datetime.datetime(2017, 1, 16, 19, 9, 36, 947444), 'id': 44}
{'numeracySkill': 'VwE', 'studentId': 45, 'word': 'j', 'packageName': 'Literacy', 'number': 6443, 'literacySkill': 'iD', 'score': 99, 'deviceId': 45, 'letter': 'q', 'time': datetime.datetime(2016, 12, 14, 0, 36, 3, 890449), 'id': 45}
{'numeracySkill': 'Z', 'studentId': 46, 'word': 'Xy', 'packageName': 'Speech', 'number': 2285, 'literacySkill': 'teVo', 'score': 81, 'deviceId': 46, 'letter': 'R', 'time': datetime.datetime(2013, 10, 2, 23, 50, 29, 586941), 'id': 46}
{'numeracySkill': 'dXj', 'studentId': 47, 'word': 'WNtT', 'packageName': 'Speech', 'number': 5193, 'literacySkill': 'T', 'score': 75, 'deviceId': 47, 'letter': 'I', 'time': datetime.datetime(2016, 1, 12, 5, 51, 32, 728353), 'id': 47}
{'numeracySkill': 'iGhO', 'studentId': 48, 'word': 'taR', 'packageName': 'Speech', 'number': 9867, 'literacySkill': 'Aeah', 'score': 65, 'deviceId': 48, 'letter': 'g', 'time': datetime.datetime(2016, 7, 13, 9, 11, 13, 771468), 'id': 48}
{'numeracySkill': 'XvIzf', 'studentId': 49, 'word': 'SfPIETDh', 'packageName': 'Game', 'number': 8215, 'literacySkill': 'w', 'score': 85, 'deviceId': 49, 'letter': 's', 'time': datetime.datetime(2017, 2, 2, 17, 1, 28, 76618), 'id': 49}
{'numeracySkill': 'ql', 'studentId': 50, 'word': 'uxMyspzuKu', 'packageName': 'Speech', 'number': 7828, 'literacySkill': 'HfEuY', 'score': 50, 'deviceId': 50, 'letter': 'h', 'time': datetime.datetime(2016, 11, 20, 12, 43, 1, 753047), 'id': 50}
{'numeracySkill': 'pYC', 'studentId': 51, 'word': 'BpHBcb', 'packageName': 'Literacy', 'number': 7463, 'literacySkill': 'zKydC', 'score': 38, 'deviceId': 51, 'letter': 'X', 'time': datetime.datetime(2014, 10, 3, 6, 50, 58, 145105), 'id': 51}
{'numeracySkill': 'vo', 'studentId': 52, 'word': 'VPcspvKK', 'packageName': 'Speech', 'number': 7920, 'literacySkill': 'Bf', 'score': 23, 'deviceId': 52, 'letter': 'd', 'time': datetime.datetime(2016, 9, 5, 18, 56, 19, 537068), 'id': 52}
{'numeracySkill': 'l', 'studentId': 53, 'word': 'XuR', 'packageName': 'Speech', 'number': 9146, 'literacySkill': 'nwSO', 'score': 87, 'deviceId': 53, 'letter': 'a', 'time': datetime.datetime(2016, 9, 30, 15, 57, 5, 471684), 'id': 53}
{'numeracySkill': 'b', 'studentId': 54, 'word': 'IlSbn', 'packageName': 'Game', 'number': 6156, 'literacySkill': 'lus', 'score': 36, 'deviceId': 54, 'letter': 'm', 'time': datetime.datetime(2016, 1, 24, 23, 13, 8, 469495), 'id': 54}
{'numeracySkill': 'Tl', 'studentId': 55, 'word': 'F', 'packageName': 'Speech', 'number': 3901, 'literacySkill': 'o', 'score': 62, 'deviceId': 55, 'letter': 'A', 'time': datetime.datetime(2014, 6, 7, 10, 27, 5, 808061), 'id': 55}
{'numeracySkill': 'L', 'studentId': 56, 'word': 'MaekPg', 'packageName': 'Literacy', 'number': 1521, 'literacySkill': 'BuX', 'score': 33, 'deviceId': 56, 'letter': 'C', 'time': datetime.datetime(2015, 6, 5, 18, 2, 27, 784393), 'id': 56}
{'numeracySkill': 'PZc', 'studentId': 57, 'word': 'SC', 'packageName': 'Literacy', 'number': 7120, 'literacySkill': 'BkPg', 'score': 27, 'deviceId': 57, 'letter': 'Y', 'time': datetime.datetime(2014, 3, 18, 15, 4, 7, 281343), 'id': 57}
{'numeracySkill': 'Ukk', 'studentId': 58, 'word': 'x', 'packageName': 'Game', 'number': 985, 'literacySkill': 'OYM', 'score': 46, 'deviceId': 58, 'letter': 'y', 'time': datetime.datetime(2014, 12, 26, 15, 26, 46, 955439), 'id': 58}
{'numeracySkill': 'eMWS', 'studentId': 59, 'word': 'pDWbJR', 'packageName': 'Game', 'number': 9083, 'literacySkill': 'Gi', 'score': 25, 'deviceId': 59, 'letter': 'G', 'time': datetime.datetime(2016, 11, 4, 20, 44, 54, 857948), 'id': 59}
{'numeracySkill': 'Lu', 'studentId': 60, 'word': 'mGLuSP', 'packageName': 'Speech', 'number': 1226, 'literacySkill': 'hAGQi', 'score': 36, 'deviceId': 60, 'letter': 'U', 'time': datetime.datetime(2014, 3, 22, 23, 4, 51, 237534), 'id': 60}
{'numeracySkill': 'E', 'studentId': 61, 'word': 'iqzG', 'packageName': 'Speech', 'number': 8732, 'literacySkill': 'gkRw', 'score': 77, 'deviceId': 61, 'letter': 'f', 'time': datetime.datetime(2016, 6, 1, 22, 40, 59, 279367), 'id': 61}
{'numeracySkill': 'VEh', 'studentId': 62, 'word': 'qcsy', 'packageName': 'Speech', 'number': 852, 'literacySkill': 'xYf', 'score': 60, 'deviceId': 62, 'letter': 'T', 'time': datetime.datetime(2016, 5, 18, 21, 34, 9, 119861), 'id': 62}
{'numeracySkill': 'y', 'studentId': 63, 'word': 'HhmfGCXCG', 'packageName': 'Game', 'number': 6654, 'literacySkill': 'ouAPC', 'score': 51, 'deviceId': 63, 'letter': 'J', 'time': datetime.datetime(2016, 1, 28, 11, 48, 30, 539942), 'id': 63}
{'numeracySkill': 'q', 'studentId': 64, 'word': 'ilHINJpd', 'packageName': 'Literacy', 'number': 4278, 'literacySkill': 'Mhg', 'score': 72, 'deviceId': 64, 'letter': 'G', 'time': datetime.datetime(2017, 1, 2, 3, 57, 38, 62410), 'id': 64}
{'numeracySkill': 'QXBt', 'studentId': 65, 'word': 'ivje', 'packageName': 'Literacy', 'number': 5578, 'literacySkill': 'HHo', 'score': 71, 'deviceId': 65, 'letter': 'x', 'time': datetime.datetime(2014, 10, 12, 14, 40, 14, 949556), 'id': 65}
{'numeracySkill': 'q', 'studentId': 66, 'word': 'zrHdzPYs', 'packageName': 'Speech', 'number': 8701, 'literacySkill': 'OkuOP', 'score': 85, 'deviceId': 66, 'letter': 't', 'time': datetime.datetime(2017, 3, 30, 10, 28, 10, 909509), 'id': 66}
{'numeracySkill': 'UsLZs', 'studentId': 67, 'word': 'X', 'packageName': 'Game', 'number': 1899, 'literacySkill': 'Emntl', 'score': 42, 'deviceId': 67, 'letter': 'i', 'time': datetime.datetime(2016, 6, 6, 12, 9, 28, 221337), 'id': 67}
{'numeracySkill': 'XX', 'studentId': 68, 'word': 'IbWptjN', 'packageName': 'Game', 'number': 4588, 'literacySkill': 'WTLGD', 'score': 25, 'deviceId': 68, 'letter': 'f', 'time': datetime.datetime(2016, 8, 24, 19, 8, 4, 737032), 'id': 68}
{'numeracySkill': 'xHCX', 'studentId': 69, 'word': 'fZBAKMo', 'packageName': 'Speech', 'number': 8475, 'literacySkill': 'xcodT', 'score': 84, 'deviceId': 69, 'letter': 'y', 'time': datetime.datetime(2015, 10, 16, 0, 33, 15, 218511), 'id': 69}
{'numeracySkill': 'lFPm', 'studentId': 70, 'word': 'JDJBI', 'packageName': 'Literacy', 'number': 5459, 'literacySkill': 'fCa', 'score': 62, 'deviceId': 70, 'letter': 'W', 'time': datetime.datetime(2015, 2, 2, 15, 44, 26, 124019), 'id': 70}
{'numeracySkill': 'LAi', 'studentId': 71, 'word': 'XKiA', 'packageName': 'Literacy', 'number': 2249, 'literacySkill': 'VnAd', 'score': 81, 'deviceId': 71, 'letter': 'c', 'time': datetime.datetime(2015, 5, 17, 16, 49, 24, 461949), 'id': 71}
{'numeracySkill': 'SB', 'studentId': 72, 'word': 'zWAM', 'packageName': 'Speech', 'number': 7263, 'literacySkill': 'qTHc', 'score': 94, 'deviceId': 72, 'letter': 'k', 'time': datetime.datetime(2014, 3, 31, 6, 54, 8, 866090), 'id': 72}
{'numeracySkill': 'grNd', 'studentId': 73, 'word': 'CzxJSz', 'packageName': 'Literacy', 'number': 8451, 'literacySkill': 'v', 'score': 84, 'deviceId': 73, 'letter': 'P', 'time': datetime.datetime(2016, 4, 21, 22, 1, 59, 328884), 'id': 73}
{'numeracySkill': 'tdli', 'studentId': 74, 'word': 'SveS', 'packageName': 'Literacy', 'number': 8829, 'literacySkill': 'SbUb', 'score': 45, 'deviceId': 74, 'letter': 'G', 'time': datetime.datetime(2015, 12, 3, 4, 23, 36, 980010), 'id': 74}
{'numeracySkill': 'HVNd', 'studentId': 75, 'word': 'JyYjh', 'packageName': 'Speech', 'number': 8052, 'literacySkill': 'JkC', 'score': 39, 'deviceId': 75, 'letter': 'X', 'time': datetime.datetime(2014, 3, 8, 16, 20, 6, 624101), 'id': 75}
{'numeracySkill': 'uL', 'studentId': 76, 'word': 'IXgJTBVml', 'packageName': 'Literacy', 'number': 5583, 'literacySkill': 'oMEu', 'score': 77, 'deviceId': 76, 'letter': 'x', 'time': datetime.datetime(2015, 4, 7, 2, 28, 33, 443127), 'id': 76}
{'numeracySkill': 'JoKT', 'studentId': 77, 'word': 'y', 'packageName': 'Speech', 'number': 4502, 'literacySkill': 'cuILj', 'score': 24, 'deviceId': 77, 'letter': 'C', 'time': datetime.datetime(2017, 1, 16, 11, 23, 21, 391767), 'id': 77}
{'numeracySkill': 'Ssc', 'studentId': 78, 'word': 'UPNppw', 'packageName': 'Literacy', 'number': 2347, 'literacySkill': 'YX', 'score': 20, 'deviceId': 78, 'letter': 'm', 'time': datetime.datetime(2015, 10, 7, 9, 11, 18, 602949), 'id': 78}
{'numeracySkill': 'bavxp', 'studentId': 79, 'word': 'xhA', 'packageName': 'Speech', 'number': 3776, 'literacySkill': 'iqqs', 'score': 52, 'deviceId': 79, 'letter': 'T', 'time': datetime.datetime(2014, 1, 23, 15, 35, 51, 668921), 'id': 79}
{'numeracySkill': 'XtN', 'studentId': 80, 'word': 'labYebUjVV', 'packageName': 'Speech', 'number': 129, 'literacySkill': 'YFsc', 'score': 81, 'deviceId': 80, 'letter': 'N', 'time': datetime.datetime(2014, 5, 27, 3, 30, 37, 974040), 'id': 80}
{'numeracySkill': 'vEG', 'studentId': 81, 'word': 'AAMsBNFXTJ', 'packageName': 'Literacy', 'number': 7811, 'literacySkill': 'Bi', 'score': 88, 'deviceId': 81, 'letter': 'J', 'time': datetime.datetime(2016, 7, 9, 16, 52, 36, 591146), 'id': 81}
{'numeracySkill': 'P', 'studentId': 82, 'word': 'zuDBMtjIT', 'packageName': 'Game', 'number': 9898, 'literacySkill': 'oxD', 'score': 33, 'deviceId': 82, 'letter': 'L', 'time': datetime.datetime(2016, 5, 23, 0, 31, 22, 407028), 'id': 82}
{'numeracySkill': 'R', 'studentId': 83, 'word': 'nNaJkyu', 'packageName': 'Game', 'number': 5739, 'literacySkill': 'JOrS', 'score': 40, 'deviceId': 83, 'letter': 'W', 'time': datetime.datetime(2016, 2, 21, 3, 27, 36, 329086), 'id': 83}
{'numeracySkill': 'Q', 'studentId': 84, 'word': 'ud', 'packageName': 'Literacy', 'number': 8865, 'literacySkill': 'enLu', 'score': 20, 'deviceId': 84, 'letter': 't', 'time': datetime.datetime(2016, 9, 13, 7, 9, 49, 82455), 'id': 84}
{'numeracySkill': 'IpX', 'studentId': 85, 'word': 'dxQcFaNzhg', 'packageName': 'Speech', 'number': 7160, 'literacySkill': 'HsfDw', 'score': 37, 'deviceId': 85, 'letter': 'K', 'time': datetime.datetime(2017, 2, 19, 13, 9, 22, 711073), 'id': 85}
{'numeracySkill': 'auysx', 'studentId': 86, 'word': 'NKkwQqfvHn', 'packageName': 'Game', 'number': 3380, 'literacySkill': 'anB', 'score': 77, 'deviceId': 86, 'letter': 'E', 'time': datetime.datetime(2016, 11, 8, 5, 33, 16, 98103), 'id': 86}
{'numeracySkill': 'aGWe', 'studentId': 87, 'word': 'fu', 'packageName': 'Literacy', 'number': 5856, 'literacySkill': 'bru', 'score': 55, 'deviceId': 87, 'letter': 'A', 'time': datetime.datetime(2014, 2, 24, 14, 17, 34, 274078), 'id': 87}
{'numeracySkill': 'srn', 'studentId': 88, 'word': 'hUtNJUd', 'packageName': 'Literacy', 'number': 5351, 'literacySkill': 'xXYI', 'score': 36, 'deviceId': 88, 'letter': 'O', 'time': datetime.datetime(2016, 6, 8, 3, 7, 55, 285262), 'id': 88}
{'numeracySkill': 'w', 'studentId': 89, 'word': 'hCGV', 'packageName': 'Literacy', 'number': 1608, 'literacySkill': 'SRx', 'score': 38, 'deviceId': 89, 'letter': 's', 'time': datetime.datetime(2016, 9, 30, 1, 3, 12, 61693), 'id': 89}
{'numeracySkill': 'lF', 'studentId': 90, 'word': 'DlpKHm', 'packageName': 'Speech', 'number': 1452, 'literacySkill': 'LFT', 'score': 22, 'deviceId': 90, 'letter': 'H', 'time': datetime.datetime(2015, 7, 14, 0, 59, 44, 581847), 'id': 90}
{'numeracySkill': 'GxKtu', 'studentId': 91, 'word': 'VoIWLRoaE', 'packageName': 'Speech', 'number': 2957, 'literacySkill': 'I', 'score': 78, 'deviceId': 91, 'letter': 'A', 'time': datetime.datetime(2013, 11, 26, 7, 25, 48, 715227), 'id': 91}
{'numeracySkill': 'V', 'studentId': 92, 'word': 'GZkUBxzfFl', 'packageName': 'Speech', 'number': 9146, 'literacySkill': 'M', 'score': 50, 'deviceId': 92, 'letter': 'u', 'time': datetime.datetime(2017, 3, 16, 5, 36, 25, 772864), 'id': 92}
{'numeracySkill': 'n', 'studentId': 93, 'word': 'D', 'packageName': 'Speech', 'number': 2444, 'literacySkill': 'l', 'score': 56, 'deviceId': 93, 'letter': 'q', 'time': datetime.datetime(2014, 4, 2, 13, 49, 56, 758083), 'id': 93}
{'numeracySkill': 'kSOHj', 'studentId': 94, 'word': 'ruC', 'packageName': 'Game', 'number': 2534, 'literacySkill': 'gID', 'score': 51, 'deviceId': 94, 'letter': 'M', 'time': datetime.datetime(2017, 1, 28, 8, 47, 2, 446880), 'id': 94}
{'numeracySkill': 'GnH', 'studentId': 95, 'word': 'x', 'packageName': 'Game', 'number': 8889, 'literacySkill': 'ShsI', 'score': 93, 'deviceId': 95, 'letter': 'F', 'time': datetime.datetime(2015, 1, 14, 10, 16, 48, 525088), 'id': 95}
{'numeracySkill': 'BE', 'studentId': 96, 'word': 'rEUWBuB', 'packageName': 'Speech', 'number': 5575, 'literacySkill': 'nhdi', 'score': 62, 'deviceId': 96, 'letter': 'Z', 'time': datetime.datetime(2014, 2, 18, 15, 37, 6, 322963), 'id': 96}
{'numeracySkill': 'kAh', 'studentId': 97, 'word': 'l', 'packageName': 'Game', 'number': 9538, 'literacySkill': 'MSoa', 'score': 71, 'deviceId': 97, 'letter': 'C', 'time': datetime.datetime(2013, 11, 6, 2, 37, 47, 985685), 'id': 97}
{'numeracySkill': 'h', 'studentId': 98, 'word': 'IgosAnCwuF', 'packageName': 'Game', 'number': 3589, 'literacySkill': 'RTyX', 'score': 81, 'deviceId': 98, 'letter': 'i', 'time': datetime.datetime(2016, 1, 19, 15, 35, 3, 617013), 'id': 98}
{'numeracySkill': 'eNi', 'studentId': 99, 'word': 'xS', 'packageName': 'Speech', 'number': 6484, 'literacySkill': 'STfjz', 'score': 23, 'deviceId': 99, 'letter': 'i', 'time': datetime.datetime(2017, 1, 24, 7, 51, 22, 528467), 'id': 99}
{'numeracySkill': 'XbvMe', 'studentId': 100, 'word': 'EfKvXIHf', 'packageName': 'Game', 'number': 4629, 'literacySkill': 'DpPs', 'score': 52, 'deviceId': 100, 'letter': 'o', 'time': datetime.datetime(2017, 3, 13, 8, 39, 54, 74144), 'id': 100}
{'numeracySkill': 'YhuEM', 'studentId': 101, 'word': 'tv', 'packageName': 'Game', 'number': 1137, 'literacySkill': 'WD', 'score': 24, 'deviceId': 101, 'letter': 'm', 'time': datetime.datetime(2017, 4, 29, 23, 26, 5, 183508), 'id': 101}
{'numeracySkill': 'ueaF', 'studentId': 102, 'word': 'PA', 'packageName': 'Literacy', 'number': 9241, 'literacySkill': 'YmLo', 'score': 58, 'deviceId': 102, 'letter': 'R', 'time': datetime.datetime(2013, 11, 29, 15, 4, 35, 32824), 'id': 102}
{'numeracySkill': 'jSDE', 'studentId': 103, 'word': 'PaSoJbkEA', 'packageName': 'Game', 'number': 7953, 'literacySkill': 'ryDTu', 'score': 25, 'deviceId': 103, 'letter': 'W', 'time': datetime.datetime(2015, 9, 18, 23, 12, 4, 929531), 'id': 103}
{'numeracySkill': 'vUK', 'studentId': 104, 'word': 'JKtzi', 'packageName': 'Speech', 'number': 660, 'literacySkill': 'UYHE', 'score': 50, 'deviceId': 104, 'letter': 'r', 'time': datetime.datetime(2017, 2, 17, 17, 46, 31, 473013), 'id': 104}
{'numeracySkill': 'Lwm', 'studentId': 105, 'word': 'CJunapeH', 'packageName': 'Game', 'number': 548, 'literacySkill': 'F', 'score': 55, 'deviceId': 105, 'letter': 'W', 'time': datetime.datetime(2014, 4, 24, 1, 9, 41, 359346), 'id': 105}
{'numeracySkill': 'J', 'studentId': 106, 'word': 'qTaK', 'packageName': 'Literacy', 'number': 6843, 'literacySkill': 'nHSnO', 'score': 85, 'deviceId': 106, 'letter': 'n', 'time': datetime.datetime(2016, 1, 9, 11, 16, 21, 659062), 'id': 106}
{'numeracySkill': 'AADM', 'studentId': 107, 'word': 'BFWFAIofST', 'packageName': 'Literacy', 'number': 4152, 'literacySkill': 'Te', 'score': 57, 'deviceId': 107, 'letter': 'n', 'time': datetime.datetime(2014, 1, 21, 15, 38, 23, 514215), 'id': 107}
{'numeracySkill': 'DhjWF', 'studentId': 108, 'word': 'cxsRFV', 'packageName': 'Speech', 'number': 6627, 'literacySkill': 'NfL', 'score': 36, 'deviceId': 108, 'letter': 'd', 'time': datetime.datetime(2015, 2, 18, 16, 51, 51, 671152), 'id': 108}
{'numeracySkill': 'ZykuL', 'studentId': 109, 'word': 'QNGj', 'packageName': 'Literacy', 'number': 8688, 'literacySkill': 'a', 'score': 27, 'deviceId': 109, 'letter': 'C', 'time': datetime.datetime(2015, 4, 10, 18, 59, 3, 608481), 'id': 109}
